node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
5,3,50,1.338813814267229,-14.393529614279549,48607541,-14.393533678752078,36805458
13,7,50,4.108382675587361,-43.63115658918463,85924167,-43.985189198441276,94851292
3,2,50,0.41895322206990493,-6.726865857927745,39839416,-6.726865843348275,18477291
45,23,50,3.87095339226913,-151.72486046304405,84513542,-164.99456507911088,317376958
25,13,50,5.422232440468997,-58.30306604993642,101459459,-96.81950906459329,192647584
139,70,50,4.86024606622965,-541.6205013062054,102601292,-581.1154522605598,872079666
73,37,50,4.092036575159874,NaN,91410084,-278.73436233610727,464244708
3,2,50,4.209824881630563,-13.971424387696626,86930500,-13.971424352348077,44407125
35,18,50,3.623605867500298,NaN,81860792,-114.03905265631363,240316459
9,5,50,1.2058916195371274,-29.726016252830046,49203666,-29.725836171687888,48208417
19,10,50,2.533744160382059,-67.46963387115231,68230625,-67.47021484971448,133366209
5,3,50,3.16937096774183,-20.37638134033243,76672625,-20.376381355730622,41723083
3,2,50,2.7991093698334657,-11.641391140817904,71268292,-11.641391401914703,37392084
5,3,50,1.3890096211089291,-15.982897854697484,49749708,-15.982895558089457,40897750
185,93,50,5.3755270728578814,NaN,99175708,-834.1259398775453,1189656542
35,18,50,3.260616554992177,-121.74715859629488,77119958,-122.42344124377396,232703625
13,7,50,1.9447083017081142,-40.02417247773913,59510333,-40.02413286696206,84577625
37,19,50,2.580790350313631,-129.18151619302208,70537833,-129.17936970369942,230520917
25,13,50,4.190156586250175,NaN,84217500,-89.43527981659393,181778875
11,6,50,3.036045996410911,NaN,73458209,-39.61607656802311,99538375
3,2,50,0.9417572852157063,-9.070027821807106,45599041,-9.070027821146747,24473167
3,2,50,0.32553565217817027,-5.350942195841339,31189666,-5.35094220010816,14072667
5,3,50,0.8922147262013702,-12.393343148508396,45731292,-12.393343346731477,32600167
69,35,50,3.3832447045045555,-247.98243958582182,83059375,-257.47739342217835,432149375
3,2,50,1.779590446206316,-9.522090893087956,58802875,-9.522089910690049,29259375
45,23,50,3.844626140204115,NaN,87604250,-179.80065179134655,322814791
3,2,50,3.082989932977985,-16.3242998572578,74502667,-16.324299896728505,31925458
3,2,50,0.3244266078629236,-6.896626414501115,30451458,-6.896626514954093,15227459
3,2,50,1.035026112419112,-8.817909056442755,46035292,-8.81790917069915,22451250
9,5,50,3.2735706384050314,-30.16390796820123,78847334,-30.1692125561257,76143333
3,2,50,0.1399654261117393,-7.279456020567728,26703375,-7.279456020904396,11430333
3,2,50,1.0203535020065309,-8.767663272020844,45834709,-8.767663256089717,25525541
5,3,50,1.1831400441237716,-13.726491539429318,48579334,-13.726490799918997,40911834
3,2,50,0.12707118980150456,-5.969538420445827,26241625,-5.969538419528367,10719375
61,31,50,4.840832206311181,NaN,96415917,-244.96592262819945,454136958
7,4,50,2.5301697883030507,-22.650955644165307,68465833,-22.55549100938619,71111583
3,2,50,1.3737241945138532,-9.556722863554187,52894625,-9.556722889430219,25482292
15,8,50,2.647883918879908,-50.2626393570281,70574750,-50.26279400103461,97957250
31,16,50,3.3173292816314754,NaN,81181209,-113.21142430249766,201221459
7,4,50,3.1223383300421745,-26.223882219431342,77444042,-26.223898433726568,54259500
17,9,50,2.1335273775325496,-54.777302911413315,62308042,-54.77732095128481,118765208
3,2,50,1.696714962163991,-9.839426289148498,57021042,-9.839426111692724,28430750
73,37,50,3.1552113414849825,NaN,80221125,-276.69597982560646,445988750
3,2,50,0.5661328897700884,-9.327589255657486,36789500,-9.32758925918808,22566125
75,38,50,3.5456859542752213,-276.6506044833253,85970500,-283.1729679117879,454273917
3,2,50,0.9824846857656955,-8.091157123106997,45768708,-8.091157037931373,27775500
3,2,50,1.9932646257321434,-9.903606042579312,60648792,-9.903606062394912,33669583
3,2,50,5.358050498435641,-16.565162248763997,97231125,-16.565161918215114,49601209
11,6,50,1.8146840323616702,-29.73933128281601,59127750,-29.739297817295565,79860459
7,4,50,1.7150059363833232,-22.821785596399724,55524458,-22.821793860773308,46797083
25,13,50,3.0265362942004286,-91.31535202655812,76250917,-91.30835804526384,163016917
7,4,50,1.7530308526528282,-21.795075406400965,57448958,-21.79507408601681,46530458
3,2,50,1.2477433765579857,-10.425195937734676,51982625,-10.425195827308682,33061917
3,2,50,2.6854631213803315,-12.19751346208374,69467875,-12.19751307993325,33027125
11,6,50,2.3868167675728786,-31.71989371672204,67877959,-31.719991470047812,77858042
3,2,50,4.276522472504048,-15.205259314762976,85533000,-15.205259228642657,36503458
11,6,50,2.571724648032297,-33.655884845927105,68767375,-33.65588073540364,92493917
3,2,50,0.3440433210543522,-8.095622699678037,32069000,-8.095622717155361,15444500
15,8,50,2.456907793249768,-52.51431695283696,73561667,-52.514382444050106,76933125
23,12,50,2.0902163051008786,-73.23489517820413,52178333,-73.2348826535632,119435500
7,4,50,2.1584308541565727,-24.43364736472958,61132416,-24.43367921803094,44677292
3,2,50,0.6486597132956445,-9.52980791232024,39339333,-9.529807888631908,18478917
27,14,50,3.774330322763093,NaN,85964334,-101.09170124046312,194345000
3,2,50,0.17166435316962902,-7.0917210845730665,27075084,-7.091721086492289,13398625
69,35,50,3.650640427023022,-253.76995002340178,85750708,-266.3486507344178,487550000
9,5,50,3.803924369923438,NaN,85001417,-32.202456774204144,79333542
113,57,50,3.294875916483241,-474.1243595730458,81164000,-480.6769919325013,612845709
17,9,50,3.7460323473372616,-58.71579090813446,84676083,-59.856740285006026,147066625
13,7,50,2.6662488633706265,-42.87240418320742,72531083,-42.872322232060675,92611834
57,29,50,3.495365162697395,NaN,80088958,-209.53104765653768,318277042
7,4,50,3.4167709412858653,-24.94019101590745,80584750,-24.940113937742005,53293583
71,36,50,3.7768867134099744,NaN,88461250,-284.09729645371146,523465167
91,46,50,5.208591315066153,NaN,96643583,-372.98843633267273,622168625
3,2,50,0.8503483729247767,-11.81261828790857,43736125,-11.812618651767336,22355584
17,9,50,2.312223065557262,-53.21781412138602,66780083,-53.261041781270734,121605583
15,8,50,3.5821922750141004,NaN,82364375,-54.283085376902726,123597833
3,2,50,1.6273167094550507,-11.08132325523801,55451000,-11.081323252466653,27438000
3,2,50,2.1242554526065414,-9.435076425551912,63228792,-9.435076446503862,34767750
3,2,50,1.774738829738532,-9.52837564005977,57094625,-9.528375717664366,32288208
3,2,50,0.7916014738060512,-7.4548728100777915,42623667,-7.454872814701492,23766042
3,2,50,1.4561263238129398,-9.33697781041611,52995917,-9.336977841986105,28202917
9,5,50,3.018182186296577,-31.3025029253695,75946958,-31.30250319682874,68801667
3,2,50,2.9678491323525575,-12.427526142749759,75415667,-12.427475949034946,35453833
3,2,50,0.9016407621109617,-12.212278530207955,44947833,-12.212278533531208,22179750
53,27,50,3.201242307843877,NaN,80211750,-194.8293963681005,375417750
3,2,50,1.082762483275146,-7.702151780678884,46551375,-7.702152048003773,23163417
185,93,50,5.153746650269687,NaN,111954375,-811.0068180005331,1167050042
3,2,50,0.1165553069539102,-10.531272077728225,26187833,-10.531272078702822,11361750
3,2,50,1.6676589476468344,-10.464927959643763,58727458,-10.464928204949342,26946417
